Usage,Temp,Hour
0.714,57,7
0.292,57,8
0.262,57,9
0.192,57,10
0.122,57,11
0.404,57,12
2.562,57,13
0.114,57,14
0.113,57,15
0.495,57,16
0.113,57,17
0.581,57,18
0.338,57,19
0.3,57,20
0.515,57,21
0.254,57,22
0.301,57,23
0.75,67,0
0.788,67,1
0.428,67,2
0.341,67,3
0.522,67,4
0.131,67,5
2.287,67,8
1.516,67,9
0.107,67,10
0.476,67,11
0.113,67,12
1.551,67,13
0.117,67,14
0.275,67,15
0.279,67,16
0.104,67,17
0.201,67,18
0.533,67,19
0.174,67,20
0.674,67,21
0.321,67,22
0.885,75,0
2.375,75,9
1.971,75,10
0.106,75,11
0.542,75,12
0.115,75,13
0.107,75,14
0.119,75,15
0.408,75,16
0.116,75,17
0.106,75,18
0.128,75,19
0.668,75,20
0.539,75,21
2.003,77,0
0.135,77,1
4.492,77,10
0.116,77,11
0.112,77,12
0.509,77,13
0.204,77,14
0.131,77,15
0.597,77,16
0.602,77,17
0.299,77,18
0.606,77,19
0.273,77,20
0.272,77,21
0.546,77,22
0.298,77,23
0.402,74,0
0.324,74,1
0.569,74,2
2.739,74,3
0.725,74,4
0.134,74,5
0.583,74,6
0.128,74,7
0.123,74,8
0.37,74,9
0.112,74,10
0.111,74,11
0.119,74,12
0.595,74,13
0.12,74,14
0.358,74,15
0.223,74,16
0.162,74,17
0.355,74,18
0.12,74,19
0.114,74,20
0.113,74,21
0.147,74,22
0.359,74,23
0.121,72,0
0.112,72,1
0.112,72,2
0.391,72,3
0.108,72,4
0.124,72,5
0.113,72,6
0.111,72,7
0.111,72,8
0.401,72,9
0.125,72,10
0.115,72,11
0.11,72,12
0.112,72,13
0.115,72,14
0.383,72,15
0.122,72,16
0.112,72,17
0.112,72,18
0.112,72,19
0.397,72,20
0.126,72,21
0.118,72,22
0.222,72,23
0.593,69,0
0.324,69,1
0.613,69,2
0.254,69,3
0.12,69,4
0.114,69,5
0.129,69,6
0.121,69,7
0.112,69,8
0.392,69,9
0.118,69,10
0.126,69,11
1.492,69,12
0.111,69,13
0.448,69,14
0.117,69,15
0.127,69,16
0.377,69,17
0.112,69,18
0.112,69,19
0.099,69,20
0.355,69,21
0.127,69,22
0.12,69,23
0.112,69,0
2.473,69,1
0.425,69,2
0.654,69,3
0.22,69,4
0.237,69,5
0.533,69,6
0.18,69,7
0.122,69,8
0.117,69,9
0.404,69,10
0.39,69,11
0.118,69,12
0.113,69,13
0.323,69,14
0.155,69,15
0.143,69,16
0.118,69,17
0.353,69,18
0.112,69,19
0.116,69,20
0.127,69,21
0.121,69,22
0.365,69,23
0.382,63,0
0.436,63,1
0.487,63,2
0.241,63,3
0.331,63,4
0.229,63,5
0.285,63,6
0.213,63,7
0.6,63,8
0.238,63,9
0.261,63,10
1.388,63,11
0.886,63,12
3.079,63,13
0.138,63,14
0.486,63,15
0.119,63,16
0.113,63,17
0.438,63,18
0.164,63,19
0.262,63,20
0.387,63,21
0.6,63,22
0.217,63,23
0.344,63,0
0.13,63,1
0.121,63,2
0.113,63,3
0.103,63,4
0.116,63,5
0.129,63,6
0.465,63,7
0.181,63,8
0.117,63,9
0.122,63,10
0.37,63,11
0.119,63,12
0.114,63,13
0.122,63,14
0.117,63,15
0.166,63,16
0.346,63,17
1.146,63,18
2.258,63,19
0.18,63,20
0.461,63,21
0.115,63,22
0.119,63,23
0.451,48,0
0.116,48,1
0.113,48,2
0.112,48,3
0.115,48,4
0.418,48,5
0.112,48,6
0.111,48,7
0.111,48,8
0.126,48,9
0.385,48,10
0.11,48,11
0.111,48,12
0.114,48,13
0.129,48,14
0.114,48,15
0.382,48,16
0.174,48,17
0.146,48,18
0.133,48,19
0.416,48,20
0.209,48,21
0.114,48,22
0.128,48,23
0.374,51,0
0.166,51,1
0.527,51,2
0.392,51,3
0.483,51,4
0.281,51,5
0.287,51,6
0.538,51,7
0.121,51,8
0.113,51,9
0.117,51,10
0.129,51,11
1.779,51,12
0.272,51,13
0.453,51,14
0.12,51,15
0.128,51,16
0.499,51,17
0.254,51,18
0.393,51,19
0.851,51,20
0.637,51,21
0.277,51,22
0.48,51,23
0.617,50,0
1.877,50,1
2.485,50,2
